Headline,Source,Posted,Description,Link
Plug Power Inc. stock underperforms Wednesday when compared to competitors despite daily gains,Market Watch,7 hours ago,"Shares of Plug Power Inc. rallied 1.67% to $27.47 Wednesday, on what proved to be an all-around...",https://www.marketwatch.com/story/plug-power-inc-stock-underperforms-wednesday-when-compared-to-competitors-despite-daily-gains-01621459067-f803e20f3584
Is PLUG Stock A Buy After Restating Years Of Financials?,Investor's Business Daily,14 hours ago,"Plug Power, a leading maker of hydrogen fuel cells, is trying to rebound as momentum in renewable...",https://www.investors.com/news/plug-power-stock-buy-now/?src=A00220&yptr=yahoo
Plug Power Isn't Out of the Woods Just Yet,TheStreet.com,14 hours ago,"When asked about their business, Marsh said the future remains bright and they continue to work with great customers like Amazon (AMZN) and Walmart (WMT)...",https://realmoney.thestreet.com/investing/plug-power-isn-t-out-of-the-woods-just-yet-15660004
Is Plug Power a Buy With the Accounting Noise Behind It?,InvestorPlace,2 days ago,The last time I wrote about Plug Power (NASDAQ:PLUG) was in early April. It was a couple of weeks...,https://investorplace.com/2021/05/is-plug-power-plug-stock-a-buy-once-again-with-accounting-noise-behind-it/
Plug Power admits its financial reporting needs improvement,Albany Times Union,2 days ago,"Plug Power, the Latham hydrogen fuel cell maker, finally released its restated financial earnings...",https://www.timesunion.com/business/article/Plug-Power-admits-its-financial-reporting-needs-16182206.php
Better Buy: Plug Power vs. Bloom Energy,Motley Fool,6 days ago,"For decades, fuel cell companies are trying to make their operations profitable. This enthusiasm drove stock of top fuel cell maker Plug Power (NASDAQ:...",https://www.fool.com/investing/2021/05/14/better-buy-plug-power-vs-bloom-energy/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo
Plug Power Higher After Completing Earnings Restatement,TheStreet.com,6 days ago,Plug Power jumped after the fuel-cell maker said it completed the restatement of its financial...,https://www.thestreet.com/investing/plug-power-earnings-restatement-completed-stock-up
Plug Power Stock May Have Bounced At Support: Technical Levels To Watch,Benzinga,5 days ago,Plug Power Inc. (NASDAQ: PLUG) shares gapped up Friday after the company announced it completed the...,https://www.benzinga.com/news/earnings/21/05/21128840/plug-power-stock-may-have-bounced-at-support-technical-levels-to-watch
Green Hydrogen Production Fuels the Long-Term Growth in Plug Power Stock,InvestorPlace,2 days ago,While Plug Power (NASDAQ:PLUG) has been dealing with accounting issues discovered in previous...,https://investorplace.com/2021/05/green-hydrogen-production-fuels-the-long-term-growth-in-plug-stock/
Here's Why Plug Power Stock Jumped Friday Morning | The Motley Fool,The Motley Fool,6 days ago,Shares of Plug Power (NASDAQ:PLUG) have been on a fairly steady decline since the company announced...,https://www.fool.com/investing/2021/05/14/heres-why-plug-power-stock-jumped-friday-morning/
Plug Power Inc. stock outperforms competitors on strong trading day,Market Watch,1 day ago,"Shares of Plug Power Inc. rose 8.34% to $27.02 Tuesday, on what proved to be an all-around grim...",https://www.marketwatch.com/story/plug-power-inc-stock-outperforms-competitors-on-strong-trading-day-01621372662-3601595c8529
"Plug Power Finalizes Reissued Financial Statements, Files 2020 Annual Report | The Motley Fool",The Motley Fool,6 days ago,"For Plug Power (NASDAQ:PLUG) investors, the wait is over. The company announced that it has...",https://www.fool.com/investing/2021/05/14/plug-power-finalizes-reissued-financial-statements/
"Biden's EV Plans Push Plug Power, Peers, Higher By Investing.com",Investing.com,1 day ago,"Biden's EV Plans Push Plug Power, Peers, Higher",https://uk.investing.com/news/stock-market-news/bidens-ev-plans-push-plug-power-peers-higher-2376450
"Why Plug Power, Bloom Energy, and Nikola Stocks All Popped Today | The Motley Fool",The Motley Fool,1 day ago,"The market is dipping into the red again Tuesday, but one specific part of the market, fuel cell...",https://www.fool.com/investing/2021/05/18/why-plug-power-bloom-energy-and-nikola-stocks-all/
